a,b,div_4,div_8,div_12
1,2,0.5,0.5,0.5
2,1,2.0,2.0,2.0
1,3,0.3333,0.33333333,0.333333333333
3,1,3.0,3.0,3.0
1,4,0.25,0.25,0.25
4,1,4.0,4.0,4.0
1,5,0.2,0.2,0.2
5,1,5.0,5.0,5.0
1,6,0.1667,0.16666667,0.166666666667
6,1,6.0,6.0,6.0
1,7,0.1429,0.14285714,0.142857142857
7,1,7.0,7.0,7.0
1,8,0.125,0.125,0.125
8,1,8.0,8.0,8.0
1,9,0.1111,0.11111111,0.111111111111
9,1,9.0,9.0,9.0
2,1,2.0,2.0,2.0
1,2,0.5,0.5,0.5
2,3,0.6667,0.66666667,0.666666666667
3,2,1.5,1.5,1.5
2,4,0.5,0.5,0.5
4,2,2.0,2.0,2.0
2,5,0.4,0.4,0.4
5,2,2.5,2.5,2.5
2,6,0.3333,0.33333333,0.333333333333
6,2,3.0,3.0,3.0
2,7,0.2857,0.28571429,0.285714285714
7,2,3.5,3.5,3.5
2,8,0.25,0.25,0.25
8,2,4.0,4.0,4.0
2,9,0.2222,0.22222222,0.222222222222
9,2,4.5,4.5,4.5
3,1,3.0,3.0,3.0
1,3,0.3333,0.33333333,0.333333333333
3,2,1.5,1.5,1.5
2,3,0.6667,0.66666667,0.666666666667
3,4,0.75,0.75,0.75
4,3,1.3333,1.33333333,1.333333333333
3,5,0.6,0.6,0.6
5,3,1.6667,1.66666667,1.666666666667
3,6,0.5,0.5,0.5
6,3,2.0,2.0,2.0
3,7,0.4286,0.42857143,0.428571428571
7,3,2.3333,2.33333333,2.333333333333
3,8,0.375,0.375,0.375
8,3,2.6667,2.66666667,2.666666666667
3,9,0.3333,0.33333333,0.333333333333
9,3,3.0,3.0,3.0
4,1,4.0,4.0,4.0
1,4,0.25,0.25,0.25
4,2,2.0,2.0,2.0
2,4,0.5,0.5,0.5
4,3,1.3333,1.33333333,1.333333333333
3,4,0.75,0.75,0.75
4,5,0.8,0.8,0.8
5,4,1.25,1.25,1.25
4,6,0.6667,0.66666667,0.666666666667
6,4,1.5,1.5,1.5
4,7,0.5714,0.57142857,0.571428571429
7,4,1.75,1.75,1.75
4,8,0.5,0.5,0.5
8,4,2.0,2.0,2.0
4,9,0.4444,0.44444444,0.444444444444
9,4,2.25,2.25,2.25
5,1,5.0,5.0,5.0
1,5,0.2,0.2,0.2
5,2,2.5,2.5,2.5
2,5,0.4,0.4,0.4
5,3,1.6667,1.66666667,1.666666666667
3,5,0.6,0.6,0.6
5,4,1.25,1.25,1.25
4,5,0.8,0.8,0.8
5,6,0.8333,0.83333333,0.833333333333
6,5,1.2,1.2,1.2
5,7,0.7143,0.71428571,0.714285714286
7,5,1.4,1.4,1.4
5,8,0.625,0.625,0.625
8,5,1.6,1.6,1.6
5,9,0.5556,0.55555556,0.555555555556
9,5,1.8,1.8,1.8
6,1,6.0,6.0,6.0
1,6,0.1667,0.16666667,0.166666666667
6,2,3.0,3.0,3.0
2,6,0.3333,0.33333333,0.333333333333
6,3,2.0,2.0,2.0
3,6,0.5,0.5,0.5
6,4,1.5,1.5,1.5
4,6,0.6667,0.66666667,0.666666666667
6,5,1.2,1.2,1.2
5,6,0.8333,0.83333333,0.833333333333
6,7,0.8571,0.85714286,0.857142857143
7,6,1.1667,1.16666667,1.166666666667
6,8,0.75,0.75,0.75
8,6,1.3333,1.33333333,1.333333333333
6,9,0.6667,0.66666667,0.666666666667
9,6,1.5,1.5,1.5
7,1,7.0,7.0,7.0
1,7,0.1429,0.14285714,0.142857142857
7,2,3.5,3.5,3.5
2,7,0.2857,0.28571429,0.285714285714
7,3,2.3333,2.33333333,2.333333333333
3,7,0.4286,0.42857143,0.428571428571
7,4,1.75,1.75,1.75
4,7,0.5714,0.57142857,0.571428571429
7,5,1.4,1.4,1.4
5,7,0.7143,0.71428571,0.714285714286
7,6,1.1667,1.16666667,1.166666666667
6,7,0.8571,0.85714286,0.857142857143
7,8,0.875,0.875,0.875
8,7,1.1429,1.14285714,1.142857142857
7,9,0.7778,0.77777778,0.777777777778
9,7,1.2857,1.28571429,1.285714285714
8,1,8.0,8.0,8.0
1,8,0.125,0.125,0.125
8,2,4.0,4.0,4.0
2,8,0.25,0.25,0.25
8,3,2.6667,2.66666667,2.666666666667
3,8,0.375,0.375,0.375
8,4,2.0,2.0,2.0
4,8,0.5,0.5,0.5
8,5,1.6,1.6,1.6
5,8,0.625,0.625,0.625
8,6,1.3333,1.33333333,1.333333333333
6,8,0.75,0.75,0.75
8,7,1.1429,1.14285714,1.142857142857
7,8,0.875,0.875,0.875
8,9,0.8889,0.88888889,0.888888888889
9,8,1.125,1.125,1.125
9,1,9.0,9.0,9.0
1,9,0.1111,0.11111111,0.111111111111
9,2,4.5,4.5,4.5
2,9,0.2222,0.22222222,0.222222222222
9,3,3.0,3.0,3.0
3,9,0.3333,0.33333333,0.333333333333
9,4,2.25,2.25,2.25
4,9,0.4444,0.44444444,0.444444444444
9,5,1.8,1.8,1.8
5,9,0.5556,0.55555556,0.555555555556
9,6,1.5,1.5,1.5
6,9,0.6667,0.66666667,0.666666666667
9,7,1.2857,1.28571429,1.285714285714
7,9,0.7778,0.77777778,0.777777777778
9,8,1.125,1.125,1.125
8,9,0.8889,0.88888889,0.888888888889
1,-2,-0.5,-0.5,-0.5
-2,1,-2.0,-2.0,-2.0
-1,-2,0.5,0.5,0.5
-2,-1,2.0,2.0,2.0
-1,3,-0.3333,-0.33333333,-0.333333333333
3,-1,-3.0,-3.0,-3.0
-1,-3,0.3333,0.33333333,0.333333333333
-3,-1,3.0,3.0,3.0
1,-4,-0.25,-0.25,-0.25
-4,1,-4.0,-4.0,-4.0
-1,-4,0.25,0.25,0.25
-4,-1,4.0,4.0,4.0
1,-5,-0.2,-0.2,-0.2
-5,1,-5.0,-5.0,-5.0
-1,-5,0.2,0.2,0.2
-5,-1,5.0,5.0,5.0
-1,6,-0.1667,-0.16666667,-0.166666666667
6,-1,-6.0,-6.0,-6.0
-1,-6,0.1667,0.16666667,0.166666666667
-6,-1,6.0,6.0,6.0
1,-7,-0.1429,-0.14285714,-0.142857142857
-7,1,-7.0,-7.0,-7.0
-1,-7,0.1429,0.14285714,0.142857142857
-7,-1,7.0,7.0,7.0
1,-8,-0.125,-0.125,-0.125
-8,1,-8.0,-8.0,-8.0
-1,-8,0.125,0.125,0.125
-8,-1,8.0,8.0,8.0
-1,9,-0.1111,-0.11111111,-0.111111111111
9,-1,-9.0,-9.0,-9.0
-1,-9,0.1111,0.11111111,0.111111111111
-9,-1,9.0,9.0,9.0
2,-1,-2.0,-2.0,-2.0
-1,2,-0.5,-0.5,-0.5
-2,-1,2.0,2.0,2.0
-1,-2,0.5,0.5,0.5
2,-3,-0.6667,-0.66666667,-0.666666666667
-3,2,-1.5,-1.5,-1.5
-2,-3,0.6667,0.66666667,0.666666666667
-3,-2,1.5,1.5,1.5
2,-4,-0.5,-0.5,-0.5
-4,2,-2.0,-2.0,-2.0
-2,-4,0.5,0.5,0.5
-4,-2,2.0,2.0,2.0
-2,5,-0.4,-0.4,-0.4
5,-2,-2.5,-2.5,-2.5
-2,-5,0.4,0.4,0.4
-5,-2,2.5,2.5,2.5
-2,6,-0.3333,-0.33333333,-0.333333333333
6,-2,-3.0,-3.0,-3.0
-2,-6,0.3333,0.33333333,0.333333333333
-6,-2,3.0,3.0,3.0
-2,7,-0.2857,-0.28571429,-0.285714285714
7,-2,-3.5,-3.5,-3.5
-2,-7,0.2857,0.28571429,0.285714285714
-7,-2,3.5,3.5,3.5
-2,8,-0.25,-0.25,-0.25
8,-2,-4.0,-4.0,-4.0
-2,-8,0.25,0.25,0.25
-8,-2,4.0,4.0,4.0
2,-9,-0.2222,-0.22222222,-0.222222222222
-9,2,-4.5,-4.5,-4.5
-2,-9,0.2222,0.22222222,0.222222222222
-9,-2,4.5,4.5,4.5
-3,1,-3.0,-3.0,-3.0
1,-3,-0.3333,-0.33333333,-0.333333333333
-3,-1,3.0,3.0,3.0
-1,-3,0.3333,0.33333333,0.333333333333
-3,2,-1.5,-1.5,-1.5
2,-3,-0.6667,-0.66666667,-0.666666666667
-3,-2,1.5,1.5,1.5
-2,-3,0.6667,0.66666667,0.666666666667
-3,4,-0.75,-0.75,-0.75
4,-3,-1.3333,-1.33333333,-1.333333333333
-3,-4,0.75,0.75,0.75
-4,-3,1.3333,1.33333333,1.333333333333
3,-5,-0.6,-0.6,-0.6
-5,3,-1.6667,-1.66666667,-1.666666666667
-3,-5,0.6,0.6,0.6
-5,-3,1.6667,1.66666667,1.666666666667
-3,6,-0.5,-0.5,-0.5
6,-3,-2.0,-2.0,-2.0
-3,-6,0.5,0.5,0.5
-6,-3,2.0,2.0,2.0
-3,7,-0.4286,-0.42857143,-0.428571428571
7,-3,-2.3333,-2.33333333,-2.333333333333
-3,-7,0.4286,0.42857143,0.428571428571
-7,-3,2.3333,2.33333333,2.333333333333
-3,8,-0.375,-0.375,-0.375
8,-3,-2.6667,-2.66666667,-2.666666666667
-3,-8,0.375,0.375,0.375
-8,-3,2.6667,2.66666667,2.666666666667
-3,9,-0.3333,-0.33333333,-0.333333333333
9,-3,-3.0,-3.0,-3.0
-3,-9,0.3333,0.33333333,0.333333333333
-9,-3,3.0,3.0,3.0
4,-1,-4.0,-4.0,-4.0
-1,4,-0.25,-0.25,-0.25
-4,-1,4.0,4.0,4.0
-1,-4,0.25,0.25,0.25
-4,2,-2.0,-2.0,-2.0
2,-4,-0.5,-0.5,-0.5
-4,-2,2.0,2.0,2.0
-2,-4,0.5,0.5,0.5
4,-3,-1.3333,-1.33333333,-1.333333333333
-3,4,-0.75,-0.75,-0.75
-4,-3,1.3333,1.33333333,1.333333333333
-3,-4,0.75,0.75,0.75
-4,5,-0.8,-0.8,-0.8
5,-4,-1.25,-1.25,-1.25
-4,-5,0.8,0.8,0.8
-5,-4,1.25,1.25,1.25
-4,6,-0.6667,-0.66666667,-0.666666666667
6,-4,-1.5,-1.5,-1.5
-4,-6,0.6667,0.66666667,0.666666666667
-6,-4,1.5,1.5,1.5
-4,7,-0.5714,-0.57142857,-0.571428571429
7,-4,-1.75,-1.75,-1.75
-4,-7,0.5714,0.57142857,0.571428571429
-7,-4,1.75,1.75,1.75
4,-8,-0.5,-0.5,-0.5
-8,4,-2.0,-2.0,-2.0
-4,-8,0.5,0.5,0.5
-8,-4,2.0,2.0,2.0
-4,9,-0.4444,-0.44444444,-0.444444444444
9,-4,-2.25,-2.25,-2.25
-4,-9,0.4444,0.44444444,0.444444444444
-9,-4,2.25,2.25,2.25
5,-1,-5.0,-5.0,-5.0
-1,5,-0.2,-0.2,-0.2
-5,-1,5.0,5.0,5.0
-1,-5,0.2,0.2,0.2
-5,2,-2.5,-2.5,-2.5
2,-5,-0.4,-0.4,-0.4
-5,-2,2.5,2.5,2.5
-2,-5,0.4,0.4,0.4
5,-3,-1.6667,-1.66666667,-1.666666666667
-3,5,-0.6,-0.6,-0.6
-5,-3,1.6667,1.66666667,1.666666666667
-3,-5,0.6,0.6,0.6
-5,4,-1.25,-1.25,-1.25
